ParentEduc,PracticeSport,NrSiblings,WklyStudyHours,MathScore,ReadingScore,ExamScore,Gender_male,LunchType_standard,TestPrep_none,IsFirstChild_yes,TransportMeans_school_bus,EthnicGroup_group b,EthnicGroup_group c,EthnicGroup_group d,EthnicGroup_group e,ParentMaritalStatus_married,ParentMaritalStatus_single,ParentMaritalStatus_widowed,Result,Cluster,LearnerCategory
4,2,3.0,2.5,71,71.0,74.0,0,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
2,1,0.0,7.5,69,90.0,88.0,0,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
5,1,4.0,2.5,87,93.0,91.0,0,1,1,1,1,1,0,0,0,0,1,0,Pass,1,Average
3,0,1.0,7.5,45,56.0,42.0,1,0,1,0,1,0,0,0,0,1,0,0,Fail,2,At-Risk
2,1,0.0,7.5,76,78.0,75.0,1,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
3,2,1.0,7.5,73,84.0,79.0,0,1,1,1,1,1,0,0,0,1,0,0,Pass,1,Average
2,0,1.0,7.5,85,93.0,89.0,0,1,0,0,0,1,0,0,0,0,0,1,Pass,0,High-Performer
2,1,1.0,12.0,41,43.0,39.0,1,0,1,1,0,1,0,0,0,1,0,0,Fail,2,At-Risk
1,1,3.0,12.0,65,64.0,68.0,1,0,0,0,0,0,0,1,0,0,1,0,Fail,0,High-Performer
1,2,2.0,2.5,37,59.0,50.0,0,0,1,1,0,1,0,0,0,1,0,0,Fail,2,At-Risk
3,1,1.0,7.5,58,54.0,52.0,1,1,1,1,0,0,1,0,0,1,0,0,Fail,1,Average
3,1,1.0,7.5,40,52.0,43.0,1,1,1,1,1,0,0,1,0,0,0,0,Fail,1,Average
1,2,1.0,7.5,66,82.0,74.0,0,1,1,0,0,1,0,0,0,1,0,0,Pass,1,Average
2,1,1.0,12.0,80,73.0,71.0,1,1,0,1,0,0,0,0,0,0,1,0,Pass,0,High-Performer
5,1,2.0,2.5,48,53.0,58.0,0,1,1,1,0,0,0,0,0,0,0,0,Fail,1,Average
1,1,0.0,7.5,69,75.0,78.0,0,1,1,1,0,0,1,0,0,1,0,0,Pass,1,Average
1,1,0.0,7.5,88,89.0,86.0,1,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
1,1,1.0,7.5,23,32.0,28.0,0,0,1,1,1,1,0,0,0,0,0,0,Fail,2,At-Risk
5,1,1.0,7.5,46,42.0,47.0,1,0,0,0,0,0,1,0,0,0,1,0,Fail,2,At-Risk
3,0,3.0,2.5,50,56.0,58.0,0,0,1,1,0,0,1,0,0,1,0,0,Fail,2,At-Risk
1,1,5.0,7.5,66,69.0,63.0,1,1,1,1,1,0,0,1,0,1,0,0,Fail,1,Average
2,1,2.0,7.5,65,75.0,70.0,0,0,0,0,1,1,0,0,0,1,0,0,Pass,0,High-Performer
1,0,5.0,7.5,42,53.0,51.0,1,1,1,1,1,0,0,1,0,1,0,0,Fail,1,Average
1,0,3.0,7.5,66,71.0,71.0,0,1,1,0,1,0,1,0,0,0,0,0,Pass,1,Average
1,1,2.0,7.5,74,71.0,80.0,1,0,0,1,1,0,0,1,0,1,0,0,Pass,0,High-Performer
5,2,1.0,7.5,75,76.0,76.0,1,0,1,1,1,0,0,0,0,1,0,0,Pass,2,At-Risk
2,1,5.0,2.5,66,53.0,53.0,1,1,1,1,1,1,0,0,0,1,0,0,Fail,1,Average
4,1,4.0,12.0,69,70.0,76.0,0,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
1,1,1.0,7.5,70,70.0,65.0,1,1,1,0,0,0,1,0,0,1,0,0,Fail,1,Average
2,1,0.0,2.5,66,72.0,72.0,0,1,1,1,0,0,0,1,0,0,1,0,Pass,1,Average
2,1,5.0,7.5,63,65.0,61.0,0,1,1,1,1,1,0,0,0,0,1,0,Fail,1,Average
5,1,1.0,7.5,56,73.0,66.0,0,0,1,1,1,0,0,0,1,0,0,0,Fail,2,At-Risk
2,1,2.0,7.5,40,42.0,38.0,1,1,1,0,0,0,1,0,0,1,0,0,Fail,1,Average
2,1,0.0,7.5,97,87.0,82.0,1,1,1,1,1,0,0,0,1,0,0,0,Pass,1,Average
3,1,2.0,7.5,81,81.0,79.0,1,1,0,0,1,0,0,0,1,0,1,0,Pass,0,High-Performer
3,2,2.0,7.5,76,82.0,85.0,0,1,1,0,0,0,0,1,0,1,0,0,Pass,1,Average
1,2,1.0,7.5,51,64.0,60.0,0,0,1,1,0,0,0,1,0,1,0,0,Fail,2,At-Risk
3,2,1.0,7.5,77,91.0,90.0,0,0,0,0,1,0,0,1,0,1,0,0,Pass,0,High-Performer
3,2,5.0,7.5,58,56.0,58.0,1,0,1,1,1,1,0,0,0,0,1,0,Fail,2,At-Risk
3,0,0.0,7.5,53,60.0,52.0,1,0,1,1,1,0,1,0,0,1,0,0,Fail,2,At-Risk
3,2,1.0,7.5,59,74.0,69.0,0,1,1,0,1,0,1,0,0,0,0,0,Pass,1,Average
